"PGN","Parameter Group Label","PGN Length","Transmission Rate","Acronym","pos","SPN length","SPN","Name","Description","Data Range","Operational Range","Resolution","Ofset","Units","Date SPN was added to PGN","Status of SPN addition to PGN","Date SPN was added_or_modified","Status of SPN","SPN Doc","PGN Doc"
0,"Torque/Speed Control 1","8","to engine: Control Purpose dependent or 10 ms
to retarder: 50 ms","TSC1","1.1",2,695,"Engine Override Control Mode","The override control mode defines which sort of command is used:

00 Override disabled - Disable any existing control commanded by the source of this command.
01 Speed control - Govern speed to the included “desired speed” value.
10 Torque control - Control torque to the included “desired torque” value.
11 Speed/torque limit control - Limit speed and/or torque based on the included limit values.  The speed limit governor is a droop governor where the speed limit value defines the speed at the maximum torque available during this operation.

If a device wants to know whether it has access to the engine, there are several possibilities:

a. Comparing its command with the actual engine broadcasts.
b. Looking at command modes from other devices.
c. Looking to the engine and retarder torque mode.

Remarks:

a. The realization of a torque limit (minimum selection) is possible by setting the speed limit to a high value (0xFAFF).
b. The realization of a speed limit (minimum selection) is possible by setting the torque limit to a high value (0xFA).
c. Limiting the retarder torque means to limit the magnitude of the torque request.  As the brake torque is represented by negative torque values, the limitation must be done by a maximum selection of the requested torque and the retarder internal torque signals.
d. For torque increasing functions, time limits for the torque or speed value (command) and the direct modes are desirable.

e. The selection of which device has control of the engine's speed or torque depends on the override mode priority (see SPN 897) with the highest priority device gaining control.  In the case of two devices with identical priority, the engine responds to speed/torque control commands over speed/torque limit commands and will act on the speed or torque commands on a first come, first served basis.  The torque limit will be a “lowest wins” selection (e.g., if one device commands 60% limit and another 80% limit, then the engine will limit torque to 60%).  Figure SPN695_A provides a flowchart of the torque/speed control priority selection logic.","0 to 3",,"4 states/2 bit",0,"bit",1 de out de 98,"Published",30/11/2003,"Published","J1939-71","J1939-71"
0,"Torque/Speed Control 1","8","to engine: Control Purpose dependent or 10 ms
to retarder: 50 ms","TSC1","1.3",2,696,"Engine Requested Speed Control Conditions","This mode tells the engine control system the governor characteristics that are desired during speed control.  The four characteristics defined are:

00 Transient Optimized for driveline disengaged and non-lockup conditions
01 Stability Optimized for driveline disengaged and non-lockup conditions
10 Stability Optimized for driveline engaged and/or in lockup condition 1 (e.g., vehicle driveline)
11 Stability Optimized for driveline engaged and/or in lockup condition 2 (e.g., PTO driveline)

00b - This speed governor gain selection is adjusted to provide rapid transition between speed setpoints.  RPM overshoot and undershoot may be greater than what is seen when the “speed control characteristic” is set to be stability optimized.

01b - This control condition has been optimized to minimize rpm overshoot and undershoot given an expected plant consisting of the engine and its accessory loads.  This gain adjustment is not intended to compensate for driveline characteristics.  This characteristic is most appropriate when no driveline is connected.

10b - This control condition has been optimized to minimize rpm overshoot and undershoot given a more complex plant.  For instance, the more complex plant would contain the engine, its accessory loads and the driveline characteristics.  As an example, the driveline characteristics might include the effective spring mass relationship of pumps, tires, clutches, axles, driveshafts, and multiple gear ratios.  This characteristic is most appropriate when a driveline is engaged.

11b - This speed control characteristic is available for applications requiring compensation for more than one driveline characteristic.  It has been optimized to minimize rpm overshoot and undershoot given a more complex plant of the second variety.  This more complex plant would again contain the engine, its accessory loads and a second driveline characteristic unique from the one described in speed control characteristic 10b.","0 to 3",,"4 states/2 bit",0,"bit",1 de out de 98,"Published",30/11/2003,"Published","J1939-71","J1939-71"
0,"Torque/Speed Control 1","8","to engine: Control Purpose dependent or 10 ms
to retarder: 50 ms","TSC1","1.5",2,897,"Override Control Mode Priority","This field is used as an input to the engine or retarder to determine the priority of the Override Control Mode received in the Torque/Speed Control message (see PGN 0).  The default is 11 (Low priority).  It is not required to use the same priority during the entire override function.  For example, the transmission can use priority 01 (High priority) during a shift, but can set the priority to 11 (Low priority) at the end of the shift to allow traction control to also interact with the torque limit of the engine.

The four priority levels defined are:

00 Highest priority
01 High priority
10 Medium priority
11 Low priority

00b - Highest Priority = Used for situations that require immediate action by the receiving device in order to provide safe vehicle operation (i.e., braking systems).  This level of priority should only be used in safety critical conditions.

01b -  High Priority  =  Used for control situations that require prompt action in order to provide safe vehicle operation.  An example is when the transmission is performing a shift and requires control of the engine in order to control driveline reengagement.

10b - Medium Priority = Used for powertrain control operations which are related to assuring that the vehicle is in a stable operating condition.  An example is when the traction control system is commanding the engine in order to achieve traction stability.

11b - Low Priority = Used to indicate that the associated command desires powertrain control but is needed for function which improves the driver comfort which may be overridden by other devices.  An example is cruise control or the non-critical part of a transmission shift to a new gear.","0 to 3",,"4 states/2 bit",0,"bit",1 de out de 98,"Published",,"Published","J1939-71","J1939-71"
0,"Torque/Speed Control 1","8","to engine: Control Purpose dependent or 10 ms
to retarder: 50 ms","TSC1","2-3",16,898,"Engine Requested Speed/Speed Limit","Parameter provided to the engine from external sources in the torque/speed control message.  This is the engine speed which the engine is expected to operate at if the speed control mode is active or the engine speed which the engine is not expected to exceed if the speed limit mode is active.","0 to 8,031.875 rpm",,"0.125 rpm/bit",0,"rpm",1 de out de 98,"Published",30/11/2003,"Published","J1939-71","J1939-71"
0,"Torque/Speed Control 1","8","to engine: Control Purpose dependent or 10 ms
to retarder: 50 ms","TSC1","4",8,518,"Engine Requested Torque/Torque Limit","Parameter provided to the engine or retarder in the torque/speed control message for controlling or limiting the output torque.

Requested torque to the engine is measured in indicated torque as a percentage of reference engine torque (see the engine configuration message, PGN 65251).  This is the engine torque at which the engine is expected to operate if the torque control mode is active or the engine torque which the engine is not expected to exceed if the torque limit mode is active.

Zero torque can be requested which implies zero fuel and, according to Figures SPN512_A and SPN512_B, the engine will not be allowed to stall.  The actual engine percent torque (SPN 513) should be zero and the engine should decelerate until the low idle governor kicks in, at which time the actual engine percent torque will be calculated as shown in Figures SPN512_A and SPN512_B and the engine torque mode bits (SPN 899) should be equal to 0000b - Low Idle Governor.

Requested torque to the retarder is measured in indicated torque as a percentage of reference retarder torque (see the retarder configuration message,  PGN 65249).  The logic used in enabling or disabling the retarder is based on the override control mode priority bits (SPN 897).

A zero torque request to the retarder is a disable request, and is used by a J1939 node to prevent the retarder from being activated by other combinations of inputs outside of J1939 commands. The Torque Limit Mode is commonly used for this purpose.","-125 to 125 %","0 to 125% engine torque requests, -125% to 0% for retarder torque requests","1 %/bit",-125,"%",1 de out de 98,"Published",30/11/2003,"Published","J1939-71","J1939-71"
0,"Torque/Speed Control 1","8","to engine: Control Purpose dependent or 10 ms
to retarder: 50 ms","TSC1","5.1",3,3349,"TSC1 Transmission Rate","This parameter indicates the transmission rate at which the sending device will transmit the TSC1 message.  The engine shall adjust its timeout for TSC1 messages accordingly. Variable TSC1 transmission rates shall only apply to messages sent to the engine.  

A value of all ones is to be used in TSC1 messages directed to retarders because the TSC1 Transmission Rate parameter is not applicable for retarders. All TSC1 messages sent to the retarder shall use the standard 50 ms rate.

Devices sending TSC1 messages to the engine should only invoke alternative transmission rates which the engine has indicated it supports in SPN 3344 – Support Variable Rate TSC1 Message.

000 = 1000 ms transmission rate
001 =   750 ms transmission rate
010 =   500 ms transmission rate
011 =   250 ms transmission rate
100 =   100 ms transmission rate
101 =     50 ms transmission rate
110 =     20 ms transmission rate
111 =   Use standard TSC1 transmission rates of 10 ms to engine

Note:  Sending devices shall not send variable rate TSC1 messages to the engine for unsupported control purposes.","0 to 7",,"8 states/3 bit",0,"bit",19 de ago de 04,"Published",19/08/2004,"Published","J1939-71","J1939-71"
0,"Torque/Speed Control 1","8","to engine: Control Purpose dependent or 10 ms
to retarder: 50 ms","TSC1","5.4",5,3350,"TSC1 Control Purpose","State signal which indicates which control mode the sending device is using to generate the TSC1 command.  Note that the modes are not in prioritized order. Not all modes may be relevant for a given device. Some devices may not implement all functions. For typical priorities refer to Figures SPN512_A, SPN512_B for engine control and Figure SPN695_A.  The TSC1 control purpose shall only apply to messages sent to the engine.  

A value of all ones is to be used in TSC1 messages directed to retarders because the TSC1 Control Purpose parameter is not applicable for retarders.

00000 =   P1 = Accelerator Pedal/Operator Selection
00001 =   P2 = Cruise Control
00010 =   P3 = PTO Governor
00011 =   P4 = Road Speed Governor
00100 =   P5 = Engine Protection
00101 - 11110 =   P6-P31 = Reserved for SAE Assignment 
11111 = P32 = Temporary Power Train Control (Original use of TSC1 Command) 

Note:  Sending devices shall not send variable rate TSC1 messages to the engine for unsupported control purposes.","0 to 31",,"32 states/5 bit",0,"bit",19 de ago de 04,"Published",19/08/2004,"Published","J1939-71","J1939-71"
0,"Torque/Speed Control 1","8","to engine: Control Purpose dependent or 10 ms
to retarder: 50 ms","TSC1","6.1",4,4191,"Engine Requested Torque -  High Resolution","This parameter displays an additional torque in percent of the reference engine torque. 

When the MSB is set to 1, this parameter is not available.  When the MSB is set to 0, bits 1 to 3 indicate the desired torque with resolution of 0.125%/bit . Range is from 0 to 0.875% of reference torque.  

The parameter is used in combination with SPN 518  Engine Requested Torque/Torque Limit. The resulting torque/torque limit will be calculated by adding these two parameters. 

Validity of Engine Requested Torque High Res has no effect on SPN 518. 

Additional torque representations

0000 = +0.000%
0001 = +0.125%
.
.
.
0111 = +0.875%
1000 - 1111 = not available

For example, if SPN 518 = 150 (or 25%) and this parameter is 0100, the torque would be 25.5%.
If SPN 518 = 175 (or 50%) and this parameter is 0001, the torque would be 50.125%
If SPN 518 = 175 (or 50%) and this parameter is 1111, the torque would remain 50% (no high resolution available)","0 to 0.875%",,"0.125%/bit",0,"%",10 de ago de 06,"Approved",10/08/2006,"Approved","J1939-71","J1939-71"
0,"Torque/Speed Control 1","8","to engine: Control Purpose dependent or 10 ms
to retarder: 50 ms","TSC1","8.1",4,4206,"Message Counter","The message counter is used to detect situations where the transmitting ECU malfunction repeats the same frame all the time.  The receiver of the information may use the counter parameter to detect this situation.  The transmitting device will increase the message counter in every cycle. The message counter will count from 0 to 7 and then wrap. 

The values 0x8 thru 0xE are SAE reserved and should be ignored by the receiver.

Value 0xF (all bits set to 1) will indicate that the message counter is not available.  For compatibility purposes, TSC1 should also be honored if the message counter is not available from the transmitting device.","0 to 15","0 to 7 and 15 exclusively","1 count/bit",0,"count",15 de nov de 06,"Approved",15/11/2006,"Approved","J1939-71","J1939-71"
0,"Torque/Speed Control 1","8","to engine: Control Purpose dependent or 10 ms
to retarder: 50 ms","TSC1","8.5",4,4207,"Message Checksum","The checksum is used to verify the signal path from the transmitting device to the receiving device.

The checksum is the sum of the high nibble and the low nibble of the sum of the identifier, the first 7 data bytes and the message counter. It is calculated as follows:

Checksum = (Byte1 + Byte2 + Byte3 + Byte4 + Byte5 + Byte6 + Byte7 + message counter & 0x0F + message ID low byte + message ID mid low byte + message ID mid high byte + message ID high byte)

Checksum = ((Checksum >> 6) + (Checksum >>3) + Checksum) & 0x07

Value 0xF (all bits set to 1) will indicate that the checksum is not available.  For compatibility purposes, TSC1 should also be honored if the checksum is not available from the transmitting device.","0 to 15",,"1 count/bit",0,"count",15 de nov de 06,"Approved",15/11/2006,"Approved","J1939-71","J1939-71"
